year,month,Description,total_revenue,ranking
2010,1,BLACK RECORD COVER FRAME,1830.60,1
2010,1,RED WOOLLY HOTTIE WHITE HEART.,1670.55,2
2010,1,REGENCY CAKESTAND 3 TIER,1434.84,3
2010,1,WHITE HANGING HEART T-LIGHT HOLDER,1224.18,4
2010,1,DOTCOM POSTAGE,1177.26,5
2010,1,CHILLI LIGHTS,1109.55,6
2010,1,JUMBO BAG RED RETROSPOT,938.72,7
2010,1,PAPER CHAIN KIT 50'S CHRISTMAS ,891.10,8
2010,1,SET OF 3 COLOURED  FLYING DUCKS,809.25,9
2010,1,FAIRY TALE COTTAGE NIGHTLIGHT,684.90,10
2010,1,WOODEN OWLS LIGHT GARLAND ,681.04,11
2010,1,LIGHT GARLAND BUTTERFILES PINK,681.04,11
2010,1,STRAWBERRY CERAMIC TRINKET BOX,656.55,13
2010,1,RED TOADSTOOL LED NIGHT LIGHT,634.41,14
2010,1,HAND WARMER SCOTTY DOG DESIGN,614.48,15
2010,1,HAND WARMER OWL DESIGN,507.38,16
2010,1,VICTORIAN SEWING BOX LARGE,477.86,17
2010,1,"""RECORD FRAME 7"""" SINGLE SIZE """,474.60,18
2010,1,HAND WARMER BIRD DESIGN,469.56,19
2010,1,PAPER CHAIN KIT VINTAGE CHRISTMAS,435.94,20
2010,1,LADS ONLY TISSUE BOX,425.02,21
2010,1,HAND WARMER RED RETROSPOT,406.52,22
2010,1,HOT WATER BOTTLE BABUSHKA ,399.53,23
2010,1,ASSORTED COLOUR BIRD ORNAMENT,390.56,24
2010,1,HOT WATER BOTTLE TEA AND SYMPATHY,374.42,25
2010,1,SET/5 RED RETROSPOT LID GLASS BOWLS,358.89,26
2010,1,HAND WARMER UNION JACK,348.60,27
2010,1,CREAM SLICE FLANNEL PINK SPOT ,329.61,28
2010,1,PINK HEART SHAPE EGG FRYING PAN,312.63,29
2010,1,RETROSPOT HEART HOT WATER BOTTLE,290.10,30
2010,1,HOMEMADE JAM SCENTED CANDLES,275.40,31
2010,1,CREAM HEART CARD HOLDER,268.35,32
2010,1,JAM MAKING SET WITH JARS,268.29,33
2010,1,SCOTTIE DOG HOT WATER BOTTLE,267.95,34
2010,1,RETROSPOT CHILDRENS APRON,256.80,35
2010,1,ROSE COTTAGE KEEPSAKE BOX ,248.54,36
2010,1,SMALL POPCORN HOLDER,246.51,37
2010,1,JUMBO  BAG BAROQUE BLACK WHITE,244.95,38
2010,1,CERAMIC STRAWBERRY CAKE MONEY BANK,241.36,39
2010,1,JAM MAKING SET PRINTED,238.05,40
2010,1,HOT WATER BOTTLE I AM SO POORLY,237.03,41
2010,1,EDWARDIAN PARASOL NATURAL,236.30,42
2010,1,GREY HEART HOT WATER BOTTLE,227.04,43
2010,1,EDWARDIAN PARASOL PINK,220.80,44
2010,1,LUNCH BAG  BLACK SKULL.,220.37,45
2010,1,RED RETROSPOT OVEN GLOVE ,219.53,46
2010,1,RED HANGING HEART T-LIGHT HOLDER,216.30,47
2010,1,KNITTED UNION FLAG HOT WATER BOTTLE,213.42,48
2010,1,DOORMAT RED RETROSPOT,213.03,49
2010,1,WHITE SKULL HOT WATER BOTTLE ,211.56,50
2010,1,HEART OF WICKER SMALL,207.64,51
2010,1,DELUXE SEWING KIT ,203.92,52
2010,1,CHRISTMAS LIGHTS 10 REINDEER,203.92,52
2010,1,ALARM CLOCK BAKELIKE GREEN,198.99,54
2010,1,EDWARDIAN PARASOL RED,196.15,55
2010,1,SMALL GLASS HEART TRINKET POT,189.80,56
2010,1,DOORMAT FANCY FONT HOME SWEET HOME,189.18,57
2010,1,ALARM CLOCK BAKELIKE RED ,183.99,58
2010,1,BREAD BIN DINER STYLE RED ,179.40,59
2010,1,SET 7 BABUSHKA NESTING BOXES,178.50,60
2010,1,WHITE WIRE EGG HOLDER,178.20,61
2010,1,LARGE POPCORN HOLDER ,173.51,62
2010,1,BLACK HEART CARD HOLDER,170.58,63
2010,1,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,165.00,64
2010,1,JUMBO SHOPPER VINTAGE RED PAISLEY,160.52,65
2010,1,FAIRY CAKE FLANNEL ASSORTED COLOUR,157.22,66
2010,1,PINK BLUE FELT CRAFT TRINKET BOX,155.15,67
2010,1,CHOCOLATE HOT WATER BOTTLE,154.10,68
2010,1,ANTIQUE SILVER TEA GLASS ETCHED,145.58,69
2010,1,NAMASTE SWAGAT INCENSE,144.00,70
2010,1,IVORY EMBROIDERED QUILT ,143.00,71
2010,1,ALARM CLOCK BAKELIKE PINK,142.62,72
2010,1, SET 2 TEA TOWELS I LOVE LONDON ,141.62,73
2010,1,HEART FILIGREE DOVE  SMALL,138.82,74
2010,1,HOME BUILDING BLOCK WORD,136.82,75
2010,1,BREAD BIN DINER STYLE PINK,136.55,76
2010,1,GROW YOUR OWN PLANT IN A CAN ,134.27,77
2010,1,CHRISTMAS TOILET ROLL,132.95,78
2010,1,RED  HARMONICA IN BOX ,132.55,79
2010,1,LUNCH BAG RED RETROSPOT,132.06,80
2010,1,PACK OF 72 RETROSPOT CAKE CASES,131.55,81
2010,1,CHRISTMAS GINGHAM HEART,130.84,82
2010,1,BOX OF VINTAGE ALPHABET BLOCKS,130.68,83
2010,1,NATURAL SLATE HEART CHALKBOARD ,129.86,84
2010,1,FAMILY PHOTO FRAME CORNICE,129.35,85
2010,1,GLASS STAR FROSTED T-LIGHT HOLDER,127.50,86
2010,1,CHRISTMAS GINGHAM STAR,127.48,87
2010,1,WOOD S/3 CABINET ANT WHITE FINISH,127.10,88
2010,1,HEART OF WICKER LARGE,125.61,89
2010,1,10 COLOUR SPACEBOY PEN,124.06,90
2010,1,6 CHOCOLATE LOVE HEART T-LIGHTS,121.68,91
2010,1,UNION JACK FLAG PASSPORT COVER ,121.68,91
2010,1,FAUX FUR CHOCOLATE THROW,119.70,93
2010,1,WHITE METAL LANTERN,116.95,94
2010,1,EDWARDIAN PARASOL BLACK,113.00,95
2010,1,VICTORIAN GLASS HANGING T-LIGHT,112.71,96
2010,1,ENGLISH ROSE HOT WATER BOTTLE,111.25,97
2010,1,CERAMIC CAKE STAND + HANGING CAKES,110.78,98
2010,1,RED KITCHEN SCALES,110.44,99
2010,1,CREAM CUPID HEARTS COAT HANGER,110.00,100
2010,1,T-LIGHT GLASS FLUTED ANTIQUE,108.89,101
2010,1,CLOTHES PEGS RETROSPOT PACK 24 ,108.78,102
2010,1,SET 3 WICKER OVAL BASKETS W LIDS,107.70,103
2010,1,JUMBO STORAGE BAG SUKI,107.56,104
2010,1,ROUND SNACK BOXES SET OF4 WOODLAND ,103.25,105
2010,1,WOODEN FRAME ANTIQUE WHITE ,103.05,106
2010,1,AGED GLASS SILVER T-LIGHT HOLDER,102.60,107
2010,1,SET OF 6 SOLDIER SKITTLES,101.37,108
2010,1,IVORY GIANT GARDEN THERMOMETER,101.15,109
2010,1,LOVE BUILDING BLOCK WORD,101.12,110
2010,1,PHOTO CUBE,99.51,111
2010,1,DOORMAT TOPIARY,99.30,112
2010,1,ROTATING SILVER ANGELS T-LIGHT HLDR,99.25,113
2010,1,RETROSPOT TEA SET CERAMIC 11 PC ,97.75,114
2010,1,TOY TIDY PINK POLKADOT,96.71,115
2010,1,SET OF 20 KIDS COOKIE CUTTERS,96.65,116
2010,1,HANGING HEART ZINC T-LIGHT HOLDER,95.99,117
2010,1,RED RETROSPOT MINI CASES,95.40,118
2010,1,HAND WARMER BABUSHKA DESIGN,94.53,119
2010,1,JUMBO BAG PINK POLKADOT,94.53,119
2010,1,SET/2 RED RETROSPOT TEA TOWELS ,94.45,121
2010,1,CHICK GREY HOT WATER BOTTLE,94.02,122
2010,1,BREAD BIN DINER STYLE IVORY,93.80,123
2010,1,SET/20 RED RETROSPOT PAPER NAPKINS ,93.70,124
2010,1,RECYCLING BAG RETROSPOT ,92.44,125
2010,1,PINK MARSHMALLOW SCARF KNITTING KIT,91.80,126
2010,1,RECIPE BOX PANTRY YELLOW DESIGN,91.48,127
2010,1,RED 3 PIECE RETROSPOT CUTLERY SET,90.00,128
2010,1,NOEL WOODEN BLOCK LETTERS ,89.22,129
2010,1,BATH BUILDING BLOCK WORD,89.22,129
2010,1,PIGGY BANK RETROSPOT ,89.21,131
2010,1,VINTAGE UNION JACK CUSHION COVER,89.10,132
2010,1,ENAMEL BREAD BIN CREAM,87.60,133
2010,1,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,87.50,134
2010,1,POSTAGE,87.00,135
2010,1,GRAND CHOCOLATECANDLE,86.76,136
2010,1,COSMETIC BAG VINTAGE ROSE PAISLEY,84.02,137
2010,1,ENAMEL FIRE BUCKET CREAM,83.93,138
2010,1,DOORMAT AIRMAIL ,83.40,139
2010,1,PACK OF 60 PINK PAISLEY CAKE CASES,83.16,140
2010,1,ANTIQUE GLASS DRESSING TABLE POT,82.64,141
2010,1,DOORMAT 3 SMILEY CATS,81.93,142
2010,1,JUMBO BAG OWLS,79.95,143
